code;product_name;brands;countries_tags;energy_100g;fat_100g;saturated-fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g;sodium_100g
0000087177756;7Up;7Up,Pepsico;en:france;177;0;0;10.4;10.4;;0;0.1;0.039370079
000040608754;Pepsi, Nouveau goût !;Pepsi;en:france;177;0;0;10.4;10.4;0;0;0.0254;0.01
00011501;Marks & Spencer Curiously Strong Mints;Marks & Spencer;en:france,en:united-kingdom;1665;0.5;0.5;96;96;0.1;0.9;0;0
00031858;Pur Soup' Velouté de légumes;Liebig;en:france;188;2.1;0.7;5.3;2.4;0.8;0.8;0.75;0.295275591
00068789;Rollmop Herrings;Marks & Spencer;en:france;725;6.9;1.4;15.2;15.2;0.5;12.1;2.2352;0.88
00076924;Barres Goût Miel Amandes;Balisto,Mars Incorporated;en:france;2181;28.4;11.7;57.6;40.9;3.6;7.1;0.65024;0.256
0014100096979;Chocolate chunk cookies;Pepperidge Farm;en:france;2269;32.4;12.8;57.8;34;5.4;5.1;0.8001;0.315
0014100096986;Chocolate Chunk Dark Double Chocolate Crispy Cookies;Chocolate Chunk,Pepperidge Farm;en:france;2131;25.3;13.9;66.5;34.8;5.8;3.8;0.8;0.31496063
0014100097006;Chocolate Chunk Milk Chocolate Macadamia Crispy Cookies;Chocolate Chunk,Pepperidge Farm;en:france;2230;30.4;14.3;60.1;32.6;4.2;4.9;0.7;0.275590551
0014100099680;Goldfish Cheddar;Pepperidge Farm;en:france,en:united-states;1958;18.1;3.7;64.2;1.4;2.5;11.6;1.9;0.748031496
0014113230018;Almonds;Wonderful;en:france;2406;49.4;3.7;21.7;3.9;;21.2;;
0014113912112;Pistachios salt & pepper;Wonderful pistachios;en:france;2444;46;5.6;17.4;7.8;;21.4;2.5;0.984251969
0014113912341;Pistaches au piment doux;Wonderful;en:france;2390;45.2;5.8;17.3;10.3;0;20;2.4003;0.945
00149228;Amandino blanches;Damiano;en:france;2536;55.4;5;4.6;;;22.2;0.03683;0.0145
